flight_date,airline,origin,destination,scheduled_departure,actual_departure,delay_minutes,delay_reason,distance_miles,aircraft_type
2025-05-25,Spirit Airlines,BOS,FLL,14:45,14:45,0,None,2954,ATR 72
2023-12-07,Southwest Airlines,PHL,MDW,11:15,11:15,0,None,425,Boeing 787-8
2023-09-18,JetBlue Airways,DTW,ORD,12:45,13:14,29,Weather,1639,Boeing 777-200
2024-12-20,JetBlue Airways,DEN,SFO,10:45,10:45,0,None,967,ATR 72
2024-10-09,Alaska Airlines,MSP,PHX,08:00,08:00,0,None,1977,Airbus A330-200
2023-07-31,United Airlines,BWI,SFO,20:45,20:45,0,None,1439,ATR 72
2024-05-14,American Airlines,PHX,IAH,20:45,20:45,0,None,1009,Embraer 175
2024-09-29,Alaska Airlines,PHL,ORD,21:30,21:30,0,None,865,Boeing 757-200
2024-10-25,Spirit Airlines,DEN,MDW,13:45,13:45,0,None,1929,ATR 72
2025-01-13,Alaska Airlines,BOS,MDW,11:45,11:45,0,None,1311,Boeing 777-200
2024-04-03,Delta Air Lines,MIA,DTW,17:00,17:27,27,Air Traffic,1611,Embraer 175
2025-03-16,American Airlines,ORD,FLL,18:45,18:45,0,None,1793,Boeing 737-800
2025-05-13,Spirit Airlines,JFK,LAX,07:15,07:15,0,None,2475,Boeing 787-8
2024-03-30,United Airlines,BOS,LGA,19:15,19:15,0,None,920,Airbus A321
2025-05-11,Southwest Airlines,DTW,PHX,22:15,22:15,0,None,2461,Airbus A321
2024-07-24,Delta Air Lines,MSP,SEA,23:15,23:26,11,Weather,2981,Boeing 787-8
2023-08-08,Southwest Airlines,LGA,BOS,16:45,16:45,0,None,2900,Boeing 777-200
2024-08-12,Alaska Airlines,BWI,SFO,17:00,17:17,17,Weather,2892,Boeing 757-200
2024-07-17,Hawaiian Airlines,MSP,LAX,17:45,18:02,17,Weather,1680,Boeing 777-200
2024-12-08,Delta Air Lines,MDW,MSP,17:45,17:45,0,None,2093,ATR 72
2023-07-15,Delta Air Lines,IAH,LGA,19:30,19:30,0,None,1628,CRJ-900
2025-05-12,Allegiant Air,ORD,SFO,07:15,07:41,26,Mechanical,2692,Boeing 737-900
2023-11-02,United Airlines,IAH,BOS,13:00,13:00,0,None,1195,Airbus A321
2024-02-23,Allegiant Air,MIA,JFK,09:45,09:52,7,Weather,672,ATR 72
2023-09-14,Spirit Airlines,FLL,MDW,15:15,15:15,0,None,2362,Airbus A330-200
2024-09-09,Allegiant Air,JFK,BOS,21:45,21:45,0,None,1976,Boeing 757-200
2024-01-03,Alaska Airlines,FLL,BWI,09:45,11:03,78,Weather,2158,Embraer 175
2024-01-17,Southwest Airlines,DTW,LAS,19:00,19:16,16,Mechanical,2205,Embraer 175
2023-07-16,Delta Air Lines,DEN,PHL,12:30,12:30,0,None,1743,Airbus A320
2025-02-26,Delta Air Lines,DTW,SEA,22:15,22:15,0,None,838,Embraer 175
2024-01-27,Hawaiian Airlines,SFO,FLL,09:45,09:45,0,None,402,CRJ-900
2025-03-22,Alaska Airlines,SFO,DFW,11:15,11:15,0,None,2527,Embraer 175
2024-08-22,United Airlines,SEA,MIA,23:00,23:00,0,None,737,Airbus A321
2024-07-03,Southwest Airlines,SFO,PHX,15:45,15:56,11,Air Traffic,212,CRJ-900
2025-05-26,American Airlines,FLL,PHL,12:30,12:30,0,None,2737,Boeing 737-800
2023-07-25,Hawaiian Airlines,CLT,MIA,10:30,10:30,0,None,647,Boeing 757-200
2024-10-13,Delta Air Lines,PHL,MIA,11:00,11:00,0,None,1821,Boeing 737-900
2024-02-24,Alaska Airlines,ORD,PHX,11:45,12:07,22,Air Traffic,520,Airbus A330-200
2023-10-21,Frontier Airlines,LGA,MIA,11:00,11:00,0,None,2043,Boeing 737-800
2023-11-03,Allegiant Air,LGA,MIA,18:00,18:17,17,Security,2952,Boeing 787-8
2024-01-07,JetBlue Airways,PHL,SEA,17:45,18:18,33,Weather,1096,Boeing 787-8
2023-12-25,Frontier Airlines,MSP,DEN,09:00,09:00,0,None,2151,Airbus A321
2025-03-12,Frontier Airlines,MSP,PHL,06:30,06:54,24,Air Traffic,2046,Airbus A321
2023-07-22,Alaska Airlines,SFO,DFW,17:30,17:36,6,Air Traffic,1012,Boeing 757-200
2023-10-17,Southwest Airlines,DEN,JFK,15:15,15:15,0,None,2488,Embraer 175
2024-10-14,United Airlines,DFW,MSP,06:15,06:15,0,None,2738,Airbus A321
2024-08-13,Frontier Airlines,SEA,LAX,19:45,19:45,0,None,926,Airbus A321
2024-04-03,Southwest Airlines,ORD,MIA,16:45,16:53,8,Air Traffic,2219,Boeing 737-900
2025-05-03,Alaska Airlines,DEN,BOS,21:00,21:00,0,None,1181,Boeing 777-200
2023-09-05,JetBlue Airways,CLT,DEN,16:30,16:30,0,None,1692,Airbus A320
2025-04-24,Frontier Airlines,BWI,IAH,19:15,19:30,15,Air Traffic,1115,Boeing 757-200
2024-07-27,Delta Air Lines,DFW,SEA,05:30,05:30,0,None,1826,CRJ-900
2024-12-15,Delta Air Lines,DFW,DEN,09:00,09:00,0,None,411,Boeing 777-200
2024-09-14,United Airlines,PHX,BOS,14:45,14:45,0,None,1846,Boeing 737-900
2024-06-19,JetBlue Airways,LGA,ORD,15:15,15:15,0,None,436,Boeing 777-200
2024-06-06,Hawaiian Airlines,SFO,BOS,23:30,23:30,0,None,2329,Airbus A330-200
2024-06-04,Alaska Airlines,DTW,LGA,23:15,23:30,15,Air Traffic,2453,Boeing 787-8
2024-02-05,Alaska Airlines,IAH,DEN,11:15,11:27,12,Weather,1717,Boeing 757-200
2023-08-14,Delta Air Lines,LGA,MIA,19:15,19:54,39,Weather,933,Boeing 787-8
2023-08-26,Alaska Airlines,MDW,BWI,11:30,11:30,0,None,621,Boeing 767-300
2024-11-13,Delta Air Lines,LGA,ORD,12:00,12:40,40,Weather,2889,Boeing 777-200
2024-02-27,Allegiant Air,IAH,DEN,10:00,10:31,31,Mechanical,723,CRJ-900
2024-03-24,United Airlines,MSP,IAH,22:45,22:45,0,None,560,Boeing 757-200
2024-08-04,Spirit Airlines,BWI,MSP,22:00,22:00,0,None,767,Boeing 767-300
2023-10-13,Hawaiian Airlines,SEA,DEN,21:00,21:00,0,None,2058,Embraer 175
2023-06-30,Spirit Airlines,PHX,BWI,08:00,08:00,0,None,1827,CRJ-900
2024-02-15,Southwest Airlines,LAX,DTW,10:15,10:41,26,Air Traffic,1586,Boeing 737-900
2025-04-18,United Airlines,MSP,DEN,05:45,05:45,0,None,2938,Boeing 767-300
2024-08-26,Hawaiian Airlines,CLT,SFO,06:45,06:56,11,Mechanical,2353,Boeing 787-8
2025-03-26,Delta Air Lines,ORD,JFK,11:00,11:00,0,None,1063,Boeing 737-800
2023-07-03,Alaska Airlines,LGA,MIA,19:30,19:42,12,Mechanical,2288,Boeing 757-200
2024-10-21,Frontier Airlines,SFO,DEN,05:00,05:00,0,None,967,Boeing 767-300
2025-01-24,Hawaiian Airlines,MDW,SEA,20:30,20:30,0,None,2041,Boeing 777-200
2024-02-09,Southwest Airlines,MDW,LGA,21:00,21:17,17,Air Traffic,553,Airbus A321
2025-04-29,Allegiant Air,MDW,ORD,07:30,07:47,17,Air Traffic,1929,Boeing 777-200
2023-12-21,Frontier Airlines,BWI,MIA,16:00,16:00,0,None,1785,Boeing 757-200
2024-11-11,JetBlue Airways,LAS,BOS,10:00,10:00,0,None,2804,ATR 72
2024-07-30,Spirit Airlines,SEA,PHX,15:45,18:38,173,Weather,1930,Boeing 737-900
2024-01-21,Spirit Airlines,MDW,LAX,17:15,17:29,14,Mechanical,239,Embraer 175
2023-09-30,United Airlines,LAX,SFO,16:00,16:00,0,None,2377,Airbus A330-200
2023-08-23,Southwest Airlines,ORD,PHX,14:00,14:00,0,None,2277,CRJ-900
2023-07-16,Hawaiian Airlines,MSP,DTW,17:30,18:01,31,Air Traffic,1134,Embraer 175
2023-12-22,Hawaiian Airlines,BOS,DFW,11:00,11:06,6,Weather,1895,Airbus A320
2023-12-17,Spirit Airlines,PHL,MSP,17:00,17:00,0,None,2999,Airbus A321
2025-06-01,Southwest Airlines,SFO,FLL,17:30,17:30,0,None,972,Airbus A320
2023-12-12,Frontier Airlines,MDW,MIA,23:15,23:21,6,Air Traffic,761,Boeing 737-800
2024-05-03,Spirit Airlines,SEA,ORD,20:30,20:30,0,None,565,CRJ-900
2024-05-12,Alaska Airlines,ORD,LGA,05:15,05:15,0,None,401,Boeing 737-900
2024-09-16,Delta Air Lines,ORD,MDW,08:00,08:18,18,Weather,265,Boeing 757-200
2025-03-14,Alaska Airlines,MDW,BOS,15:00,15:07,7,Mechanical,2154,CRJ-900
2024-10-16,Southwest Airlines,SFO,LAS,14:15,14:34,19,Weather,2721,Boeing 767-300
2024-05-23,JetBlue Airways,DFW,LGA,12:45,12:45,0,None,1774,Boeing 767-300
2024-04-12,Hawaiian Airlines,MSP,FLL,14:00,14:00,0,None,2654,Boeing 757-200
2024-12-17,Alaska Airlines,JFK,SFO,10:45,10:45,0,None,1396,Airbus A321
2024-11-26,Allegiant Air,JFK,CLT,20:15,20:15,0,None,2525,Boeing 787-8
2024-04-16,Frontier Airlines,SEA,DEN,22:30,22:30,0,None,1553,ATR 72
2025-04-16,United Airlines,MIA,DTW,14:00,14:00,0,None,1394,Boeing 737-900
2025-01-02,Hawaiian Airlines,MIA,DFW,22:30,22:30,0,None,2243,Embraer 175
2024-04-07,Delta Air Lines,CLT,MIA,08:45,08:45,0,None,647,Airbus A330-200
2024-10-03,Alaska Airlines,MDW,DTW,06:30,06:30,0,None,869,ATR 72
2024-03-17,American Airlines,LGA,LAS,05:45,05:45,0,None,2386,Airbus A320
2024-12-21,Spirit Airlines,DFW,DTW,15:30,15:30,0,None,545,Embraer 175
2025-02-17,Hawaiian Airlines,MDW,IAH,23:15,23:15,0,None,1053,Boeing 777-200
2024-06-14,Hawaiian Airlines,ORD,IAH,20:30,20:30,0,None,2666,Airbus A330-200
2025-06-02,Southwest Airlines,DTW,MDW,13:00,13:00,0,None,395,ATR 72
2025-01-10,Allegiant Air,FLL,LGA,16:15,16:40,25,Air Traffic,887,Boeing 737-900
2025-05-18,American Airlines,FLL,BOS,16:45,17:57,72,Weather,2543,ATR 72
2024-05-04,American Airlines,LAX,MSP,13:00,13:00,0,None,2371,Boeing 737-800
2025-04-19,Delta Air Lines,SFO,MSP,15:45,16:48,63,Mechanical,2918,Embraer 175
2023-10-28,Delta Air Lines,PHX,FLL,18:30,18:51,21,Security,1017,CRJ-900
2023-11-19,Southwest Airlines,SFO,LAX,18:45,18:45,0,None,1440,CRJ-900
2024-10-02,Allegiant Air,DEN,SEA,21:00,21:00,0,None,357,Boeing 787-8
2023-09-05,Hawaiian Airlines,PHX,LGA,23:00,23:00,0,None,982,Boeing 757-200
2025-02-14,Allegiant Air,ORD,LAX,19:15,19:15,0,None,367,Boeing 767-300
2023-07-23,JetBlue Airways,SEA,MIA,11:30,11:30,0,None,1110,Airbus A320
2023-09-22,Delta Air Lines,LAS,LAX,11:00,11:07,7,Weather,682,Airbus A330-200
2024-11-11,Hawaiian Airlines,FLL,PHL,15:30,15:30,0,None,2048,Boeing 767-300
2024-08-26,Frontier Airlines,SFO,DEN,19:45,19:45,0,None,967,Boeing 787-8
2024-05-03,Frontier Airlines,IAH,DFW,06:45,07:32,47,Mechanical,1683,Airbus A320
2024-05-31,United Airlines,CLT,SEA,08:00,08:32,32,Weather,2376,Airbus A321
2023-08-22,Hawaiian Airlines,CLT,DFW,11:00,11:00,0,None,1084,Boeing 777-200
2025-04-07,Southwest Airlines,BWI,DEN,07:45,07:45,0,None,1253,Boeing 777-200
2025-03-11,Allegiant Air,CLT,BWI,11:45,11:45,0,None,1899,Airbus A330-200
2024-01-11,Allegiant Air,FLL,MSP,11:00,11:05,5,Air Traffic,1646,Boeing 737-800
2024-04-20,Southwest Airlines,DTW,LGA,21:45,22:07,22,Weather,2301,Boeing 787-8
2024-12-14,JetBlue Airways,LAX,PHL,17:15,17:25,10,Weather,1390,Boeing 787-8
2023-07-06,Hawaiian Airlines,MSP,CLT,23:00,23:00,0,None,2274,Airbus A330-200
2023-10-04,United Airlines,JFK,BWI,11:15,11:15,0,None,1639,Airbus A321
2025-02-06,Delta Air Lines,LAS,MIA,18:00,18:00,0,None,879,ATR 72
2025-04-29,Alaska Airlines,IAH,PHL,11:45,11:45,0,None,2873,Embraer 175
2024-01-01,Southwest Airlines,IAH,ORD,07:00,07:39,39,Weather,920,Boeing 767-300
2023-09-11,Southwest Airlines,BOS,PHX,15:30,15:38,8,Weather,2539,Airbus A330-200
2024-03-21,Allegiant Air,SFO,ORD,05:15,05:33,18,Weather,1555,Boeing 777-200
2023-11-12,JetBlue Airways,MDW,FLL,10:30,10:59,29,Weather,2967,Airbus A320
2023-07-20,Spirit Airlines,SEA,LAS,21:15,21:15,0,None,867,Airbus A321
2023-08-04,Hawaiian Airlines,DTW,SEA,16:15,16:15,0,None,1213,Boeing 757-200
2025-06-20,Southwest Airlines,LAX,DFW,18:45,19:07,22,Security,619,Airbus A330-200
2024-07-28,Frontier Airlines,LAS,JFK,08:00,08:00,0,None,1331,Boeing 767-300
2025-05-14,Spirit Airlines,ORD,MIA,05:45,05:45,0,None,536,Embraer 175
2025-01-29,Allegiant Air,PHL,DTW,13:15,13:15,0,None,2432,CRJ-900
2025-02-05,JetBlue Airways,SEA,BOS,11:30,12:50,80,Weather,777,CRJ-900
2024-06-04,Allegiant Air,MIA,LGA,11:30,11:30,0,None,2272,CRJ-900
2025-03-16,American Airlines,DEN,LAS,07:15,07:15,0,None,1050,Airbus A330-200
2024-08-11,Alaska Airlines,DTW,IAH,11:15,11:15,0,None,2214,Boeing 737-800
2023-09-21,American Airlines,FLL,PHX,12:45,13:02,17,Weather,2670,Boeing 757-200
2024-09-09,American Airlines,MSP,BWI,19:15,19:44,29,Weather,2308,Embraer 175
2023-10-16,Southwest Airlines,MIA,PHL,08:45,08:45,0,None,2823,Airbus A321
2023-11-18,JetBlue Airways,BOS,DFW,13:30,13:30,0,None,1360,Boeing 737-900
2023-10-19,American Airlines,BWI,SEA,09:45,09:45,0,None,2723,Boeing 777-200
2025-04-05,American Airlines,IAH,LAX,17:00,17:30,30,Mechanical,349,Embraer 175
2024-02-21,Hawaiian Airlines,DEN,MIA,21:30,21:30,0,None,1910,Embraer 175
2024-06-07,Delta Air Lines,DFW,LAX,16:15,16:42,27,Weather,2735,Boeing 777-200
2024-10-03,Spirit Airlines,DTW,SFO,17:30,17:30,0,None,1359,ATR 72
2024-04-25,Frontier Airlines,MSP,BWI,17:15,17:25,10,Weather,1533,ATR 72
2024-03-20,Frontier Airlines,PHX,MSP,10:15,10:15,0,None,1619,ATR 72
2024-11-16,Hawaiian Airlines,PHL,FLL,21:15,21:15,0,None,790,Boeing 787-8
2024-02-27,Southwest Airlines,LGA,ORD,08:15,08:15,0,None,2106,Boeing 767-300
2024-08-13,United Airlines,SEA,PHX,10:15,10:15,0,None,1030,CRJ-900
2024-07-20,Frontier Airlines,PHX,MSP,06:30,06:30,0,None,1509,Embraer 175
2025-01-31,JetBlue Airways,BWI,PHX,18:15,18:20,5,Weather,1520,Airbus A330-200
2024-04-26,Alaska Airlines,DTW,BOS,21:15,21:29,14,Air Traffic,2315,Airbus A321
2025-06-19,United Airlines,SEA,JFK,07:00,07:00,0,None,647,Boeing 737-900
2023-12-09,Spirit Airlines,LAX,DEN,16:15,16:15,0,None,1850,Boeing 767-300
2024-02-04,Allegiant Air,IAH,SEA,11:00,11:00,0,None,2155,Boeing 737-800
2024-10-27,Southwest Airlines,MSP,LAX,11:45,11:45,0,None,1538,Boeing 757-200
2024-04-25,Frontier Airlines,PHX,DEN,18:45,18:55,10,Air Traffic,1019,Boeing 757-200
2024-04-11,Alaska Airlines,FLL,MIA,17:15,17:15,0,None,2921,Airbus A321
2023-12-15,Frontier Airlines,SEA,SFO,11:45,12:08,23,Weather,2850,Boeing 737-900
2023-08-06,JetBlue Airways,DTW,LGA,19:45,19:45,0,None,800,Boeing 777-200
2023-10-25,JetBlue Airways,MIA,FLL,13:30,13:30,0,None,1969,ATR 72
2025-04-22,Delta Air Lines,MDW,MSP,08:30,08:30,0,None,1634,Boeing 757-200
2024-04-02,Hawaiian Airlines,DTW,FLL,13:30,14:36,66,Security,1056,Boeing 767-300
2025-01-20,JetBlue Airways,MIA,BWI,08:00,08:27,27,Air Traffic,2411,Airbus A330-200
2024-01-11,Allegiant Air,MIA,MSP,22:45,22:45,0,None,466,Boeing 737-900
2023-11-06,American Airlines,PHL,BOS,08:30,09:34,64,Weather,895,Boeing 787-8
2023-08-31,American Airlines,SEA,DFW,09:15,09:15,0,None,1413,ATR 72
2025-04-01,Frontier Airlines,DFW,JFK,16:00,16:00,0,None,240,Boeing 757-200
2024-05-17,Delta Air Lines,BOS,LAX,09:30,09:30,0,None,2855,Boeing 757-200
2024-05-21,Hawaiian Airlines,DTW,LAS,12:45,12:45,0,None,246,Embraer 175
2024-11-09,United Airlines,SEA,BOS,06:00,06:00,0,None,1903,Boeing 787-8
2024-02-09,Allegiant Air,LGA,SEA,07:45,07:45,0,None,2199,Boeing 767-300
2025-06-25,Hawaiian Airlines,JFK,MDW,10:30,10:30,0,None,213,Airbus A330-200
2024-02-03,United Airlines,DEN,MSP,20:45,20:45,0,None,2681,Boeing 757-200
2024-06-16,JetBlue Airways,LAX,DEN,18:45,19:53,68,Security,1253,Boeing 757-200
2023-10-16,Delta Air Lines,BWI,SEA,20:15,20:23,8,Air Traffic,993,Boeing 737-900
2024-03-10,Southwest Airlines,DTW,CLT,18:45,18:45,0,None,1350,Airbus A321
2023-12-19,Allegiant Air,LGA,CLT,10:00,10:34,34,Weather,391,Airbus A330-200
2023-11-17,American Airlines,DFW,SFO,13:15,13:15,0,None,1954,Boeing 767-300
2024-05-15,Spirit Airlines,MIA,IAH,08:30,09:36,66,Mechanical,538,Embraer 175
2024-06-25,American Airlines,LGA,PHX,17:15,17:15,0,None,2078,Boeing 757-200
2024-03-30,Delta Air Lines,LAS,BOS,15:15,15:39,24,Air Traffic,1868,Boeing 787-8
2025-01-11,American Airlines,ORD,DFW,11:15,11:31,16,Security,925,ATR 72
2025-04-21,Alaska Airlines,DFW,ORD,15:15,15:15,0,None,925,Boeing 737-800
2023-08-03,United Airlines,FLL,CLT,14:30,15:39,69,Mechanical,637,CRJ-900
2024-06-24,Alaska Airlines,PHX,CLT,14:15,14:15,0,None,1985,Airbus A320
2023-09-30,Hawaiian Airlines,MSP,ORD,12:15,12:15,0,None,2798,Boeing 767-300
2024-11-11,Frontier Airlines,LAS,IAH,19:45,20:10,25,Weather,2120,Airbus A321
2024-02-06,Spirit Airlines,BWI,FLL,18:00,18:00,0,None,247,Airbus A321
2024-04-02,American Airlines,FLL,LAS,07:45,07:45,0,None,2303,Embraer 175
2024-04-30,Allegiant Air,FLL,IAH,07:00,07:47,47,Air Traffic,2199,Boeing 737-900
2023-09-18,JetBlue Airways,MDW,DTW,13:30,13:30,0,None,910,Embraer 175
2024-06-24,American Airlines,CLT,PHL,23:30,23:30,0,None,2582,Boeing 777-200
2024-07-16,Alaska Airlines,CLT,DTW,16:15,16:37,22,Mechanical,751,Airbus A321
2023-11-13,Alaska Airlines,DEN,BOS,20:15,20:15,0,None,2164,Embraer 175
2024-10-24,Southwest Airlines,LAX,MDW,20:45,21:11,26,Air Traffic,2109,Airbus A321
2024-09-02,Frontier Airlines,DFW,SEA,08:00,08:07,7,Weather,2887,Airbus A330-200
2023-07-14,Allegiant Air,BOS,DFW,18:00,18:00,0,None,2587,Airbus A330-200
2025-06-11,Allegiant Air,PHL,SEA,09:15,09:15,0,None,2589,Boeing 787-8
2023-09-14,Southwest Airlines,FLL,ORD,15:30,15:47,17,Air Traffic,727,CRJ-900
2024-05-25,United Airlines,MDW,FLL,14:45,14:45,0,None,2739,Boeing 737-900
2024-09-15,United Airlines,JFK,LAX,13:15,14:25,70,Air Traffic,2475,Boeing 737-900
2023-07-31,JetBlue Airways,SEA,PHX,08:30,08:38,8,Air Traffic,2512,Boeing 777-200
2025-01-19,Allegiant Air,LGA,PHL,05:45,05:45,0,None,95,Boeing 737-900
2025-05-16,JetBlue Airways,BWI,MSP,23:00,23:00,0,None,1203,Boeing 767-300
2023-10-28,Southwest Airlines,BWI,BOS,19:30,19:35,5,Weather,1387,CRJ-900
2024-09-05,Hawaiian Airlines,LGA,MSP,21:00,21:15,15,Weather,2612,Boeing 737-800
2024-12-19,Frontier Airlines,FLL,LAS,06:15,06:15,0,None,1713,ATR 72
2024-08-19,Delta Air Lines,ORD,PHL,09:45,09:45,0,None,1892,Embraer 175
2024-06-03,American Airlines,FLL,SFO,19:00,19:00,0,None,682,ATR 72
2025-06-10,Allegiant Air,JFK,LAX,08:45,08:45,0,None,2475,Boeing 777-200
2024-12-27,Frontier Airlines,DEN,FLL,11:30,15:32,242,Weather,2991,Boeing 757-200
2024-07-31,Southwest Airlines,BOS,ORD,11:00,11:00,0,None,1235,CRJ-900
2025-06-27,Delta Air Lines,CLT,BWI,15:00,15:00,0,None,564,Boeing 737-800
2025-02-24,JetBlue Airways,MIA,DTW,12:00,12:00,0,None,1363,Boeing 767-300
2024-03-02,Spirit Airlines,PHX,LAS,22:00,22:26,26,Weather,2845,Boeing 767-300
2024-03-02,JetBlue Airways,DFW,LAX,10:00,11:08,68,Weather,1360,Boeing 757-200
2024-01-22,Southwest Airlines,MDW,BOS,05:45,05:45,0,None,1172,CRJ-900
2025-05-20,Frontier Airlines,DFW,LAX,06:00,06:00,0,None,1995,Boeing 767-300
2024-12-08,Alaska Airlines,LGA,DEN,08:30,08:46,16,Security,1814,Airbus A320
2024-05-18,Spirit Airlines,PHX,MSP,20:00,20:00,0,None,2572,Boeing 737-800
2023-07-10,American Airlines,CLT,DFW,23:00,23:00,0,None,1279,Boeing 757-200
2023-10-08,Delta Air Lines,JFK,FLL,09:45,10:05,20,Weather,416,Boeing 757-200
